rut,Conocer,Comprender,Aplicar,Analizar,Evaluar,Crear
415140565c58505d4b,1.0,0.9166666666666666,1.0,1.0,1.0,
415441575956505d,0.7046296296296296,0.7668981481481482,0.7333333333333333,0.7074074074074074,0.8222222222222223,0.825
4154415759565d56,0.4369281045751634,0.34631821170282706,0.8333333333333333,0.3118518518518519,0.875,0.5833333333333334
4154415759575a5e,0.7823809523809524,0.7380385487528345,1.0,0.7523809523809524,0.9333333333333332,0.825
415441575958515c,0.6248366013071895,0.5403681788297172,0.8,0.5081481481481481,1.0,0.6666666666666666
415441575959505a,0.6277777777777778,0.7141666666666666,0.5,0.6018518518518519,0.7999999999999999,0.6416666666666666
4154415759595b59,0.8323529411764706,0.6933925049309664,0.65,0.7766666666666667,1.0,0.8333333333333334
41544157595a5a58,0.8,0.6444444444444444,1.0,0.6666666666666666,1.0,0.5
415441575e5f5e5d,0.7300653594771241,0.6705292570677185,0.75,0.6662962962962963,0.9166666666666666,0.6388888888888888
415840525e5c5a5d,1.0,0.9222222222222223,1.0,1.0,1.0,1.0
415840525f5b5c59,0.5,0.5444444444444445,0.5,0.4,1.0,1.0
4158405652565b5a,0.3333333333333333,0.5111111111111111,0.75,0.4,0.3333333333333333,0.0
4158405652565e5e,0.6666666666666666,0.5111111111111111,0.75,0.6,0.6666666666666666,0.0
4158405652575e5a,0.6666666666666666,0.7333333333333333,1.0,0.8,0.3333333333333333,0.0
4158405652595c5d,0.08333333333333333,0.15555555555555556,0.25,0.1,0.0,0.0
41584056525a5b5e,0.75,0.7555555555555555,1.0,0.7,1.0,1.0
41584056525b5b5b,0.75,0.7555555555555555,0.75,0.7,1.0,1.0
41584056525c5a5e,,1.0,1.0,,1.0,
41584056525d5859,0.75,0.6777777777777777,0.25,0.7,0.6666666666666666,1.0
41584056525d595c,0.4166666666666667,0.6222222222222222,0.75,0.5,0.5,1.0
41584056525d5f5d,0.25,0.5111111111111111,1.0,0.3,0.6666666666666666,1.0
41584056525f5f5f,0.5,0.48888888888888893,0.75,0.4,0.6666666666666666,0.0
4158405653565d5e,0.5833333333333334,0.6777777777777777,1.0,0.5,1.0,1.0
4158405653575157,0.42407407407407405,0.5295634920634921,0.5238095238095238,0.4738095238095238,0.5178571428571428,0.5
4158405653575a59,0.08333333333333333,0.23333333333333334,0.75,0.1,0.3333333333333333,0.0
4158405653575c59,0.75,0.6777777777777777,1.0,0.7,1.0,1.0
4158405653585a56,0.25,0.4,0.25,0.3,0.16666666666666666,0.0
41584056535a5a57,0.75,0.7555555555555555,0.75,0.7,1.0,1.0
41584056535b595d,0.9166666666666666,0.8888888888888888,0.5,0.9,0.8333333333333334,1.0
41584056535c515a,0.5833333333333334,0.6555555555555556,0.75,0.5,1.0,1.0
41584056535c595e,0.5833333333333334,0.6444444444444444,0.75,0.5,1.0,1.0
41584056535d5f59,0.6666666666666666,0.6444444444444444,0.25,0.6,0.6666666666666666,1.0
41584056535f5957,0.5833333333333334,0.4666666666666667,1.0,0.5,0.6666666666666666,0.0
41584056535f5a5e,0.6666666666666666,0.5888888888888889,0.25,0.8,0.16666666666666666,0.0
41584056535f5c5e,0.5833333333333334,0.6444444444444444,1.0,0.5,1.0,1.0
